name,frequency
SALMA,7743
NAZARET,7742
MARIA AUXILIADORA,7683
YASMINA,7681
FUENSANTA,7649
EDURNE,7634
PAULINA,7607
ABRIL,7581
ZAIRA,7565
LUISA MARIA,7561
ROSA ANA,7536
AVELINA,7516
JANA,7515
AICHA,7420
DELIA,7395
MARIA SOCORRO,7389
MARIA PALOMA,7386
MARIA VALLE,7352
MARTA MARIA,7319
NAIMA,7291
VIRTUDES,7240
MARIA GUADALUPE,7213
FLORENCIA,7185
SALVADORA,7134
MARIA LUCIA,7133
ARANTXA,7096
DOLORS,7029
MARIA ESTRELLA,7018
MARIA GEMA,6998
SEBASTIANA,6978
DELFINA,6976
VERA,6968
LAURA MARIA,6956
AINOA,6948
INMACULADA CONCEPCION,6938
MARIA DESAMPARADOS,6898
LUNA,6874
ALEXIA,6862
GENOVEVA,6845
MARIONA,6762
ANGELICA,6752
FELIPA,6728
MARIA ELISA,6691
JUSTA,6687
MARISOL,6679
PATROCINIO,6656
FABIOLA,6636
MARIA SONIA,6627
INES MARIA,6601
LUZ MARIA,6581
SAMIRA,6580
JESICA,6577
JESUSA,6571
MARIA ANGELS,6558
AYA,6552
ANGELINA,6519
MARIA CINTA,6516
MARIAM,6490
INGRID,6487
YANIRA,6485
ALFONSA,6482
IDOIA,6463
MARIA OLGA,6462
SABINA,6458
MARIA VICENTA,6392
AUREA,6366
CORAL,6352
MARIA NATIVIDAD,6327
LILIANA,6316
PALMIRA,6265
ISIDORA,6249
LORENZA,6231
MIREYA,6211
MARIA ANGELA,6180
OBDULIA,6130
IRATXE,6024
ROSANA,6000
IZASKUN,5998
MAIDER,5992
DESAMPARADOS,5990
MIHAELA,5978
NAGORE,5947
CARMEN ROSA,5878
MALIKA,5878
MARIA BEATRIZ,5854
MARIA ANGUSTIAS,5842
REYES,5839
VEGA,5822
GRACIA,5806
MARIA ARACELI,5787
DIONISIA,5780
ALMA,5779
MARA,5774
MARIA FATIMA,5765
BRIGIDA,5752
JACINTA,5698
AMINA,5642
FATIHA,5635
DEBORA,5626
MODESTA,5609
GEORGINA,5579
EVANGELINA,5576
MARIA JUANA,5572
RUFINA,5519
NAHIA,5466
AZAHARA,5462
MARIA PIEDAD,5458
BIENVENIDA,5448
ANGUSTIAS,5427
TERESA JESUS,5374
MAIALEN,5369
CLOTILDE,5334
NAIA,5327
ANASTASIA,5324
OTILIA,5307
DAVINIA,5293
SOCORRO,5291
URSULA,5287
SONIA MARIA,5270
EMILIANA,5246
MARIA ALEJANDRA,5221
GERTRUDIS,5216
JOSEFA MARIA,5200
RACHIDA,5176
BALBINA,5164
DOMINGA,5161
OLGA MARIA,5064
MARIA NURIA,5045
MARIA AZUCENA,5003
KARIMA,4993
NAROA,4944
UXUE,4938
ANTIA,4922
JUNE,4915
SARAI,4875
MYRIAM,4770
MARIA RAQUEL,4750
MARIA CONSOLACION,4741
CRISTINA MARIA,4729
MARCELA,4717
LAILA,4691
ANAIS,4676
FELICIANA,4675
ERICA,4653
EUSEBIA,4624
MARIA ELVIRA,4614
FRANCESCA,4590
GLORIA MARIA,4586
IGNACIA,4582
MARIBEL,4579
LINA,4572
SAIDA,4565
FELICITAS,4556
ZOE,4534
ILUMINADA,4524
COVADONGA,4522
VICTORINA,4497
MARIA EVA,4480
MARIA LAURA,4476
MELANIA,4467
MARIA PRADO,4453
ENGRACIA,4448
MARIA SALUD,4446
PRESENTACION,4444
MINERVA,4431
YASMIN,4421
INOCENCIA,4419
MIREN,4412
ONA,4408
EIDER,4387
GUILLERMINA,4385
MARIA ALICIA,4374
SILVIA MARIA,4351
CAYETANA,4347
NICOLASA,4346
OLATZ,4304
SANDRA MARIA,4267
BOUCHRA,4265
SALUD,4264
FAUSTINA,4255
MARIA ALMUDENA,4248
MARIA MERCE,4240
OLIVA,4238
HANANE,4235
JULIA MARIA,4233
NICOLE,4214
MAITANE,4210
GEMA MARIA,4205
LUZ MARINA,4197
CINTIA,4174
MARIA FE,4170
SARA MARIA,4158
SATURNINA,4147
MARIA CELIA,4145
UXIA,4123
VICTORIA EUGENIA,4123
LATIFA,4098
FERMINA,4094
CELESTINA,4069
SAMARA,4062
MARIA EMILIA,4049
PAULA MARIA,4025
FRANCISCA MARIA,4021
SACRAMENTO,4016
ICIAR,4014
SERAFINA,4006
ANA CARMEN,4004
LORETO,3994
MALAK,3971
MARIA MARGARITA,3969
ALINA,3968
ELISA ISABEL,3965
RUT,3961
CAMILA,3940
CONCEPCIO,3893
SAIOA,3872
PASTORA,3856
CLARA ISABEL,3847
XENIA,3837
BASILISA,3823
PASCUALA,3775
PAZ,3769
MARIA FELISA,3758
GRACIELA,3696
BIBIANA,3672
SOUAD,3656
MARAVILLAS,3635
BENEDICTA,3626
SABRINA,3625
LUZ,3615
NICOLETA,3615
ZAIDA,3597
JACQUELINE,3596
OIHANE,3589
MARIA SANDRA,3564
HAIZEA,3540
HAFIDA,3518
CASILDA,3512
SARAH,3508
MARIA ADELA,3501
IOANA,3495
AMAL,3492
SALOME,3483
JERONIMA,3473
MARIA SUSANA,3468
MARIA EULALIA,3464
SIMONA,3455
THAIS,3442
MARIA VANESA,3404
NAJAT,3392
DESIRE,3388
CELSA,3374
CLEMENTINA,3373
ENCARNACIO,3359
CLARA MARIA,3352
HAJAR,3352
JANIRE,3343
TRIANA,3339
EVELYN,3324
MARIA CECILIA,3317
OFELIA,3301
IRUNE,3294
ZOHRA,3288
ANUNCIACION,3270
VICTORIANA,3266
ELISENDA,3243
LUCIANA,3239
IKRAM,3221
CYNTHIA,3216
IMAN,3194
MARIA ESTER,3194
AITZIBER,3171
NAYRA,3156
MARIA LORENA,3155
DINA,3152
MARIA AMOR,3134
YESICA,3132
KAREN,3127
ELOINA,3119
ROSA ISABEL,3117
BERNARDA,3116
ZAHRA,3109
NELIDA,3092
FLORINDA,3085
MARIA VIRGINIA,3079
IZARO,3077
YURENA,3076
MARIA OLIVA,3075
LIA,3073
NINA,3062
OLAYA,3059
SABELA,3059
MARIA CAMINO,3058
MARIA CLARA,3056
PRIMITIVA,3051
TERESA MARIA,3050
MARIYA,3033
HAYAT,3030
MARIA ESTELA,3015
SIHAM,3008
JAMILA,2996
HENAR,2992
BLANCA MARIA,2973
ISOLINA,2973
DAMARIS,2971
FATIMA ZAHRA,2954
DULCE MARIA,2948
NATALIYA,2946
MAXIMA,2944
OLALLA,2941
SUSANA MARIA,2941
GARAZI,2939
ADA,2938
LUCRECIA,2925
NEKANE,2916
ARIANA,2911
MELANIE,2904
DUNIA,2898
FIDELA,2898
MARIA VISITACION,2896
PAMELA,2894
MARIA GEMMA,2890
MARWA,2886
ALICIA MARIA,2883
CARMELA,2883
ANA TERESA,2876
MARIA AGUSTINA,2872
SONSOLES,2871
BELINDA,2870
SVETLANA,2864
FATNA,2863
MARIA CATALINA,2858
ARANCHA,2857
HANAN,2857
JONE,2852
ARANTZA,2845
MAXIMINA,2841
YESSICA,2838
JUSTINA,2836
MINA,2833
