surname,frequency_first
HERENCIA,1110
SORROCHE,1110
FARRAS,1110
LIZASO,1110
CALIZ,1110
TACORONTE,1109
CABRA,1109
MURIANA,1108
BOVEDA,1108
COSSIO,1106
BARGALLO,1106
JORBA,1106
FERRES,1105
MOUZO,1104
MOHAND,1104
NAVASCUES,1104
CARDEÑOSA,1103
RUBIANO,1103
ARRUABARRENA,1102
RON,1102
LIROLA,1102
VILLAMARIN,1101
SALOMON,1101
MACIAN,1101
ZURERA,1101
MARIANO,1100
ALBIZU,1100
ENRICH,1100
ALBORS,1100
FERRAZ,1099
MOGOLLON,1098
ENGUIDANOS,1098
ORTELLS,1097
BOTO,1097
MANTEIGA,1096
OLIVENCIA,1095
BARCIELA,1095
AIRA,1095
CARNEROS,1095
FERREIROS,1093
VERANO,1092
BERGA,1092
CAIZA,1091
BELLOT,1090
DEL REAL,1090
MAGARIÑOS,1089
CORIA,1089
FEO,1088
DE GEA,1088
IBARS,1087
GASCA,1087
COPETE,1087
ROBINSON,1087
MORARU,1087
SOLIZ,1086
CAMBEIRO,1086
FRESCO,1085
CAYETANO,1085
LOMBARDIA,1085
FREIRIA,1085
JAÑEZ,1084
LANUZA,1084
PILAR,1084
TURPIN,1084
CHORRO,1084
ILLA,1083
MOUSSAOUI,1083
BAUTE,1082
FRANCOS,1082
ROYUELA,1082
RENAU,1082
MEMBRIVES,1082
TRILLA,1082
WALKER,1082
PELLON,1081
BELANDO,1081
DAVO,1081
RABOSO,1081
ALMENAR,1081
ALEXANDRU,1081
MARCU,1081
OLVEIRA,1080
IACOB,1080
ARMIJO,1079
LARRAZABAL,1079
ANGELOV,1079
ALCIVAR,1078
POUSO,1078
FONTANA,1078
SOTOCA,1078
CASTRESANA,1078
ANTONA,1077
CUBILLAS,1077
VILLASEÑOR,1077
FOLGUEIRA,1077
FRIGOLA,1077
TORICES,1076
CAMBERO,1076
LOUZAO,1076
INSAUSTI,1075
ANIDO,1074
GARCIA MORENO,1074
ITURRIOZ,1073
TIENDA,1072
SANFELIX,1072
THIAM,1072
RONDAN,1071
CURADO,1071
MILLER,1071
SEGUNDO,1070
FORNELL,1070
MONTAGUD,1070
LARRAZ,1070
OREJA,1069
CENDON,1068
ALCEDO,1068
ESPERT,1068
DONAT,1068
FIBLA,1068
ROCH,1068
TAJUELO,1068
PELEGRI,1067
LERIN,1067
TAPIADOR,1067
VADUVA,1067
BOMBIN,1066
LAMARCA,1066
NADALES,1065
EL MANSOURI,1065
OLTEANU,1065
AZOR,1064
DEL PUERTO,1064
SOLANES,1063
ZAVALA,1063
FERRARI,1063
DEL BLANCO,1062
ESPASANDIN,1062
CANSECO,1062
CAMPILLOS,1062
IRUELA,1061
CAJA,1061
BERASATEGUI,1061
RAMIL,1061
DEL CURA,1060
VOZMEDIANO,1060
LOSILLA,1059
DUCH,1059
HABA,1058
GRANADA,1058
MASSANET,1058
BETANZOS,1057
NOGUERO,1057
JAIMEZ,1056
GILES,1056
AMORIN,1055
CORONIL,1055
ROBERTS,1055
BASCONES,1054
LACATUS,1054
CANTILLO,1053
RIBO,1053
LEMES,1052
CHAVARRI,1052
CERQUEIRA,1052
TOBOSO,1052
MA,1052
ROTARU,1051
LANCHA,1050
ABASOLO,1050
FREIXA,1049
RICA,1049
RESINO,1049
FARO,1049
SANMIGUEL,1048
ABRANTE,1048
SIMANCAS,1048
SENTIS,1048
BARRERAS,1047
ALMIRON,1047
BIEDMA,1047
VEGARA,1047
ARTIGUES,1047
DAN,1047
ARRONIZ,1045
CASTILLERO,1045
BARBADO,1045
CUÑAT,1045
FLORENCIO,1044
CERVELLO,1043
ALBERICH,1043
STOYANOVA,1043
CALVACHE,1042
FUEYO,1041
EMBID,1041
CEREIJO,1041
POUSADA,1040
PRENDES,1040
DIONISIO,1040
GINARD,1040
ANDIA,1040
COCERA,1040
FAYE,1040
POLA,1039
ARAUZO,1039
MENCHERO,1039
ARBIZU,1039
RIVADULLA,1039
FARRAN,1038
CANSINO,1038
RUBIÑO,1038
KANE,1038
ALVARIÑO,1037
VILLANOVA,1037
DEL HIERRO,1037
SOTERAS,1036
MORENA,1036
EIROA,1036
ANGELOVA,1036
BORDOY,1035
NOGUEIRAS,1035
PIJUAN,1034
LEONARDO,1034
TORREZ,1033
SALTO,1033
TORREMOCHA,1033
BARCOS,1033
MARZA,1033
CAMPINS,1032
ZULUETA,1032
ZAPLANA,1031
PICHEL,1031
GALCERAN,1030
PATERNA,1030
RAÑA,1029
SOLARES,1029
GINESTA,1029
VILLOSLADA,1029
SAID,1029
ROCES,1028
ALDA,1028
LLUIS,1028
BENGOETXEA,1028
ADALID,1027
ALBUIXECH,1027
SORRIBAS,1027
GASSO,1027
LEANDRO,1026
BOBADILLA,1026
INGELMO,1026
HILL,1026
LACAMBRA,1025
CASTANEDO,1025
ESCLAPEZ,1025
PARAMIO,1025
SOL,1024
SUBIAS,1024
ALOMAR,1024
EL HADDAD,1024
EGUIZABAL,1023
MOCHOLI,1023
VILLAPLANA,1022
CASAUS,1021
LINO,1021
CIENFUEGOS,1021
BOTA,1021
DE LARA,1020
SOSPEDRA,1020
SAN ANDRES,1019
HORTA,1019
LECUMBERRI,1019
SOBRAL,1019
ALMARZA,1019
CHIA,1018
PECHARROMAN,1018
CALDENTEY,1018
COVELO,1018
TAVARES,1018
LAREDO,1017
HERRERAS,1017
ESTESO,1017
FLORENSA,1017
ETXABE,1017
FUNEZ,1016
AMIL,1016
CARRERES,1015
ENGUIX,1015
ROSENDE,1014
ILLANES,1014
CANTADOR,1014
ABADIAS,1014
ALBELDA,1014
NOGUER,1012
URSU,1012
ARAMENDI,1011
MOMPEAN,1011
ACEÑA,1011
SALAR,1011
ARAMENDIA,1011
RAMBLA,1010
CALDAS,1010
URIBARRI,1009
BUSTELO,1009
ALEN,1009
OLIVO,1009
ILIEV,1008
BUIZA,1007
GAVIRIA,1007
ARTIME,1007
PEDRERA,1007
CASARRUBIOS,1006
FORCADELL,1006
SEISDEDOS,1006
REYNES,1006
BEGUM,1005
EL ASRI,1005
SIRBU,1005
ELICES,1004
GRASA,1004
PIÑAS,1004
BENAGES,1004
CORRALIZA,1004
EVANGELISTA,1004
COSTACHE,1004
JARDON,1003
PALLEJA,1003
JUARISTI,1002
RUFINO,1001
PARRALES,1001
CALAFELL,1001
COSME,1001
BAGUENA,1001
REALES,1001
ENSEÑAT,1001
CEBRIA,1001
CAYUELAS,1000
SHAHZAD,1000
AGUINAGA,999
BALMASEDA,999
MUNNE,999
MOLPECERES,999
RUBIN,999
YORDANOVA,999
SOMOLINOS,998
DORRONSORO,998
MONTEALEGRE,998
TABUENCA,998
AZOFRA,998
CARRASQUILLA,997
HERGUEDAS,997
OREJUELA,997
PELLITERO,997
CALAFAT,997
MORCUENDE,997
PORTUGUES,996
PAYERAS,996
ECHAVARRI,996
GUILLOT,996
CANEDA,995
COTAN,995
CARCAMO,995
HORNOS,995
RABAL,995
DIAGNE,995
GERPE,994
ALMENA,994
ARROJO,994
DENGRA,994
LINDO,994
CARRIZOSA,993
GUALLAR,993
CAÑIBANO,992
OLID,991
ZUBIETA,991
MONTELONGO,991
CINTADO,991
TORMOS,991
CALLADO,991
PAGOLA,991
BERTOLIN,990
COLETO,990
AÑO,990
GAVILANES,990
RIAZA,990
FERNANDEZ PACHECO,989
MASFERRER,989
AZPIROZ,988
CLUA,988
MAGRANER,988
ARDURA,988
CUÑADO,988
BACIU,988
PORTAL,987
MORIANO,987
TOBIAS,987
MADRUGA,987
LOZADA,987
BORGE,987
DUMITRESCU,987
NEGREIRA,986
TERRES,986
LLOVERAS,986
RENGIFO,985
SUAU,985
MARCELINO,985
STOYANOV,985
CASASNOVAS,984
ARILLA,984
ALMIRALL,984
TOQUERO,984
BRINGAS,984
DRAME,984
WRIGHT,984
YEPEZ,983
CALAHORRO,983
CANDELARIO,983
OTEO,983
PARENTE,982
SOLIÑO,982
COTILLAS,982
VILLAMIL,982
ZAHARIA,982
ECHAVE,981
FRANCIA,981
TORA,981
MUNICIO,981
JOAQUIN,981
DACAL,980
ALCORTA,980
MARDONES,980
AMARILLA,980
SHI,980
RAMO,979
FALAGAN,979
GAVIN,979
LIBERAL,979
TOURIÑO,979
GUISASOLA,978
COUÑAGO,978
YUSTA,978
SIMAL,977
BRIZUELA,977
CABELLOS,977
ALAMILLO,976
GALILEA,976
MAICAS,976
VILLACAÑAS,976
CALLAU,976
CHAPELA,975
VILLAVICENCIO,975
MASSANA,975
VICIANA,975
GARZA,975
TRIANO,974
CORROTO,974
SERENO,974
FORONDA,974
DA CRUZ,974
MEIJIDE,974
NEDELCU,974
GOROSTIZA,973
NOGUE,973
VILLUENDAS,973
CUNILL,973
ARAGONESES,973
TAIBO,972
ONRUBIA,972
MIÑAMBRES,972
ILIEVA,972
AYESTARAN,971
SEVA,970
HIPOLITO,970
ERASO,969
GESTO,969
DASILVA,969
ARCHILLA,968
VILLORA,968
ALVITE,968
PESO,968
ALBAREDA,968
BARRIL,968
REMACHA,968
ERRASTI,968
MOVILLA,967
MOREL,967
MARINOV,967
BAILO,966
BURGUILLOS,966
ZAS,966
ARBOS,966
UNZUETA,966
BEIRO,966
CAROL,966
JACKSON,966
LAMELAS,965
INTRIAGO,965
HIJANO,965
ARGEMI,965
HARRIS,965
CURT,965
REINO,964
REJON,964
LONGO,964
GALI,964
AROCHA,963
CLOTET,963
BRONCANO,963
CIA,963
GAVIÑO,963
BASURTO,963
MASANA,963
LAS HERAS,962
COLINAS,962
ABELEDO,962
PALOMERA,961
COGOLLUDO,961
FU,961
DUVAL,960
ORRIOLS,960
CAÑABATE,960
ZAMFIR,960
LANDEIRA,959
FENOLLOSA,959
SIEIRA,959
LUZARDO,959
MARROQUIN,958
ACIN,958
CLAPES,958
ALBALA,957
STEFANOV,957
LLOBREGAT,956
JUNYENT,956
PLEGUEZUELOS,956
ZEA,956
VERGE,955
SAMPAYO,955
DEL CORRAL,955
LEBRERO,955
JAPON,954
GARVI,954
LOBON,954
RIOBO,954
WENG,954
BELLMUNT,953
BADA,953
DENIA,953
MARTA,953
ITURRIAGA,952
NDONG,952
COUCE,951
ROCHER,951
CASTAÑOS,951
RAFOLS,951
ARAÑA,950
EZCURRA,950
ZUBIA,950
NIEBLA,948
BAÑEZ,947
SERVAN,947
RODADO,947
ALAEZ,947
CAMUS,947
LAJARA,947
RAHMAN,947
OTAL,946
ALAYON,946
BARRAJON,946
BONASTRE,946
GENOVES,946
DE LA SERNA,946
PLANELLA,945
BURRIEL,945
MARCET,945
ARLANDIS,945
OVALLE,944
BARBANCHO,944
OBIOLS,944
JAVALOYES,944
DEL ROSAL,944
PONCE DE LEON,944
MARINOVA,944
MARBAN,944
ESPINEL,943
GOMA,943
DEL CAÑO,943
HONRADO,943
MAINAR,942
BERNALDEZ,942
MADRONA,942
TENREIRO,942
GULLON,942
ESCORIHUELA,941
GRANDAL,941
RENTERIA,941
CERPA,941
OBRERO,940
PRADILLO,940
GANDULLO,940
MAQUIEIRA,940
MARIAN,940
VIZCAYA,939
LARUMBE,939
AZUAGA,938
MATAIX,938
ENCINA,937
RANCHAL,937
VIGUERA,937
ILLERA,937
IRAZABAL,937
HUELAMO,937
IRIZAR,937
SUESCUN,936
ARGOTE,936
GALICIA,936
JUNCOSA,935
OYA,935
CHIRIVELLA,935
ORMEÑO,934
PACO,934
GUILLO,934
TORAN,933
LISON,933
MOORE,933
YIN,933
CERNUDA,932
AGEA,932
MECO,932
YOLDI,932
DIABY,932
CAMBON,931
ALBO,931
BALSEIRO,930
ATIENZAR,930
BANDA,930
FENOLLAR,930
KONE,930
VERNET,929
COUSELO,929
ESCABIAS,929
VIVERO,928
COMIN,928
MOSTAZO,928
HALL,928
RICHARTE,927
CANCELO,927
URCELAY,927
PLANTON,927
BERNARDOS,927
CLARAMONTE,926
AROCAS,926
SAVA,926
DINCA,926
ACEBEDO,925
LOPE,925
PLANS,925
SILVENTE,925
LLOBELL,925
SANCHIDRIAN,925
LO,925
ESCUDE,924
URDA,924
MOURELLE,923
TURRADO,923
IBEAS,923
PERIBAÑEZ,923
ESCUER,922
CUBO,922
SERON,922
BORDA,922
MAÑES,922
AGUNDEZ,922
VALADES,922
BRAÑAS,921
PLACERES,921
ERRO,920
ZUGASTI,920
ESMORIS,920
ESPINOS,920
CALDUCH,920
IRLES,919
ORAMAS,919
ALLEGUE,919
GARCIA CONSUEGRA,919
DE LA CUESTA,919
ROSON,919
SARAVIA,919
SCOTT,919
ULLAH,919
ZARRAGA,918
PUYUELO,918
MUNGUIA,918
DE LA PLAZA,918
ARVELO,918
DEL CANTO,918
CORREDOIRA,918
MATAMALA,918
ALBIACH,918
LLANA,917
SOROLLA,916
BENAIGES,916
JOVEN,916
CASTEDO,916
MIHALACHE,916
FERRA,915
GRAN,915
LIRA,915
VIA,915
KARIM,915
GRAELLS,914
ALCAINE,913
ORBEGOZO,913
ESTEVES,913
AISSAOUI,913
PORTUGAL,912
BONED,912
RICOTE,912
LLAVERO,912
BERISTAIN,911
REMESAL,911
ROSSELL,911
SALMON,910
HAMDAOUI,910
GREEN,910
TOADER,910
BOVE,909
LISTA,908
SARDON,908
MIRAVET,908
AZPEITIA,907
BURGUILLO,907
CORBERA,907
ABDEL LAH,907
KING,907
RUESCAS,906
HINOJO,906
AYERBE,905
ALCAINA,905
COSIN,905
LECHON,903
GRAO,903
REOLID,903
VANEGAS,903
PEQUEÑO,903
MARCOTE,903
QUER,903
STEFANOVA,903
BRUGUERA,902
ARRILLAGA,902
CANAS,902
ROGEL,902
BUJ,901
PENIN,901
RACIONERO,900
WOOD,900
AROCENA,899
GABILONDO,899
BULLON,899
AGUILELLA,899
ALCACER,899
TATAY,899
SANTOLAYA,899
DRAMMEH,899
BORREGA,898
BALDA,898
TROITIÑO,898
ALIJA,898
CAMBLOR,898
BAU,898
BERNET,898
TAVIRA,897
BECEIRO,897
ZAMARREÑO,897
PAJARO,897
EDWARDS,897
PERTUSA,896
LANCHAS,896
BAZO,895
MIÑO,895
ABEIJON,894
MUGURUZA,894
BOX,894
SCHNEIDER,894
DONET,893
FEAL,893
VASALLO,892
EJARQUE,892
LLEO,892
OTEIZA,892
HUESCA,891
CONTE,891
DRIS,891
BASTERRECHEA,890
LEPE,890
MUNTANER,890
FRASQUET,890
DIAZ MAROTO,890
GRANIZO,890
LAX,890
GOMEZ CALCERRADA,890
PUMAR,889
TORTOLA,889
VIDA,889
GROS,889
RODIL,889
SIRERA,889
TENZA,888
ZALDUA,888
LAGAR,887
COSIO,887
SANTOYO,887
PRESAS,887
MIRETE,887
MONTAÑANA,887
PODADERA,887
ETAYO,887
CLARK,887
XIANG,887
ARRUE,886
PERDIGONES,886
CANDIL,885
ANTOÑANZAS,885
GARDUÑO,885
VILORIA,885
VITERI,885
PELAZ,885
TISCAR,885
TAJES,884
MACEDO,884
RIUTORT,884
AHEDO,883
AYATS,883
MAIQUEZ,882
PERIÑAN,882
GUARDEÑO,882
QUIRANTE,882
DEL AMOR,882
BONACHE,882
ROMANOS,881
MONTERROSO,881
ARISTIZABAL,881
REJAS,881
IRIMIA,881
PICOS,880
GARRUCHO,880
RIOFRIO,880
MACEIRA,880
IBARRONDO,880
SABORIT,880
RUSSO,880
HUAMAN,879
URRACA,879
VILLAJOS,879
AL LAL,878
PERDIGON,878
CALVA,878
AMBROS,878
GALDO,878
COELHO,877
GURRUCHAGA,877
OTAMENDI,877
CARULLA,877
MOLIST,877
MOISE,877
INES,876
BESTEIRO,876
JAMBRINA,876
PALAZUELOS,876
PUIGVERT,876
SOPEÑA,876
LEGARRETA,876
CAÑADILLAS,876
SARRIAS,876
MERINERO,875
REVERON,875
JUST,875
PARRES,874
GRIMALDI,874
ALZAMORA,874
GOZALBO,874
BONA,874
REMIRO,873
BULNES,873
VICTORIO,873
BATET,873
CASTELAO,872
BARDON,872
IDRISSI,872
BERGUA,871
GASULLA,871
PILA,871
FLECHA,871
ATANASOV,871
ALBU,871
GALVIS,870
URUEÑA,870
BAILE,870
SENDINO,870
NITU,870
AGREDANO,869
MUNIESA,869
BOJ,869
PIN,869
PUY,869
SISO,869
LERENA,869
NEACSU,869
OUTEIRAL,868
RAMILO,868
FRANQUESA,868
MINA,868
JANER,868
AFKIR,868
CLARKE,868
ALMANZA,867
ANTOLI,867
SESMERO,867
ESQUIVA,867
ROLLON,867
ARANBURU,867
JAUREGI,866
AZNAREZ,865
NAJARRO,865
MORENILLA,865
OLIVES,865
ALCANTUD,864
PENSADO,864
ESPASA,864
ZUDAIRE,864
BARTUAL,864
SISSOKO,864
MOZOS,863
RABANEDA,863
VANRELL,863
JARABA,863
TORIO,863
SANTAFE,862
HUESCAR,862
MARCEN,862
MOLINE,862
CILLERO,861
OLABARRIA,861
TEJON,861
QUEIPO,861
MONTAVEZ,861
VERDEGUER,861
GRAJALES,860
AGRAMUNT,860
PONTES,860
SANDIN,860
MENDIVIL,860
BAIGORRI,859
HORTIGUELA,859
COLMENAREJO,859
CORRO,859
SALL,859
GOMARA,858
ESCRIHUELA,858
PUJALTE,858
CASTREJON,858
SABIDO,858
SACO,858
CORTELL,858
TORNEL,858
VILLAGRA,858
ATANASOVA,858
MENDY,858
CODES,857
ZABALLA,857
RETAMAL,857
CLARA,857
LLEIXA,856
CIVIT,856
MARINAS,856
SANTIBAÑEZ,855
DOLERA,855
GALVIN,855
DE LA ASUNCION,854
ARIZMENDI,854
MEDINILLA,853
SAMBLAS,853
ZAHONERO,853
BERNAUS,853
TERROBA,853
LACUEVA,853
MIRAVETE,853
ROMANI,853
BENEITO,852
ROBAYNA,852
GRIJALBA,852
BOQUETE,852
PANADES,852
CHAOUI,852
UZAL,851
ORUE,851
BODI,851
LLEONART,851
DU,851
PADRO,850
ZUMAQUERO,850
CANDIA,850
PEDREGAL,850
ARREGI,850
ALZOLA,850
SOARE,850
ALBALATE,849
ARROBA,849
CHICON,849
BAZAGA,849
MUROS,849
CARDEÑA,849
MISA,849
QUINTANO,849
GUITIAN,849
CHOZAS,849
ETXANIZ,849
BABIANO,848
ARAGO,848
ALCOBENDAS,848
RONCAL,848
GAMA,848
LAMEIRO,848
MONTESERIN,848
SHAN,848
LLOVERA,847
CELDA,847
RODIÑO,847
TABORDA,847
PUÑAL,847
VILLAFAÑE,847
CAPELO,847
BALSELLS,847
FONTES,846
SOLTERO,846
ANDRINO,846
MELGOSA,846
GARRETA,846
LOU,846
TOUIL,846
BIZCOCHO,845
FERMIN,845
RILO,845
GOYANES,845
MARIJUAN,845
MUNTANE,845
AVIÑO,845
CHAIB,845
HERRANDO,844
BATANERO,844
CAPA,843
LORIENTE,843
ORFILA,843
TERRASA,843
MORALEJO,842
CANGA,842
EZPELETA,842
ENGUITA,841
CES,841
BELTRE,841
HANSEN,841
DEMBELE,841
DE VERA,840
HINAREJOS,840
PRUDENCIO,840
ROMERAL,840
SEGUROLA,839
PELEGRINA,839
GUIX,839
FERNANDO,839
MBENGUE,839
ORERO,838
MARINE,838
BURGUES,838
FERRETE,838
BERAZA,838
MONTOSA,838
DIACONU,838
PARRAMON,837
YARZA,837
TRIBALDOS,837
URIZ,837
GABAS,836
JOSA,836
SELFA,836
LANAU,836
MOZAS,836
CANA,836
DE PRADA,836
YAN,836
COMENDADOR,835
ABIA,835
SENENT,835
LEWIS,835
BERMEO,834
RIBE,834
ANILLO,834
OLMEDILLA,834
CLAVEL,834
ROSET,834
FISCHER,834
DAVIS,834
KELLY,834
RONQUILLO,833
LANCHARRO,833
ALLO,833
LARRIBA,833
VALLECILLOS,833
IGARTUA,833
LOAYZA,833
ISLAM,833
CEBOLLADA,832
PIEDRAHITA,832
CAPELL,832
VENTOSO,832
DE LA NUEZ,832
OLARU,832
OROSA,831
ROEL,831
GRANDIO,831
HUGHES,831
DAVALOS,830
SAMPOL,830
ALDAY,830
CLOS,830
PURAS,830
TOJO,829
CLAR,829
SANTACANA,829
MEYER,829
LOUKILI,829
MANZANEDA,828
BALADA,828
SUSO,828
TRIPIANA,828
MEIZOSO,828
JEBARI,828
MEMBRILLA,827
BUA,827
RIDAO,827
ESTARLICH,827
FELGUERA,827
FONTANALS,826
GALBIS,826
RIVEROS,826
BOGADO,825
SIMA,825
BARGUEÑO,824
MORLA,824
ARAYA,824
MINGUET,824
NAGY,824
CHIRIAC,824
LLOVET,823
TORREIRO,823
ARGILES,823
BRUÑA,823
RUMBO,823
MOJICA,823
CARTON,823
OBISPO,822
RAMAL,822
YELAMOS,822
VIGUERAS,822
TORRUBIA,822
SANROMA,822
CALCERRADA,821
DE CABO,821
BLANC,821
HERVIAS,820
ROIZ,820
SAUGAR,820
URIZAR,820
ALMEDA,820
CARNE,820
SALVO,820
JAMES,820
COOPER,820
SOLBES,819
BELLAS,819
RAZQUIN,819
BUCH,819
ROZA,818
PABON,818
MACAS,818
KASMI,818
EL KHAMLICHI,818
VIOQUE,817
ESCRICH,817
VISIEDO,817
SECADES,817
DURANGO,817
ALCANTARILLA,817
TOYOS,817
ZARZOSO,817
ALISEDA,816
TURNER,816
CUQUERELLA,815
PAZMIÑO,815
TORREÑO,815
MAGALLANES,815
FITA,815
MUJIKA,815
SANTESTEBAN,814
PORCUNA,814
LAIZ,814
BATUECAS,814
DE COS,814
BERJANO,813
MURGUI,813
LAKHAL,813
PENALBA,812
LUZURIAGA,812
GIRBES,812
ALVEAR,811
ANDALUZ,810
PEIDRO,810
ARDANAZ,809
ADELANTADO,809
COTE,809
ANTICH,809
FERRUS,809
TALBI,809
ROSCA,809
DELTELL,808
COLLAR,808
GOROSTIAGA,808
TELLADO,808
DE CARLOS,808
NICA,808
GROBA,807
CALAHORRA,807
NIUBO,807
BRAZA,807
LABARTA,806
BAHILLO,806
ARTETA,806
MANZANAS,806
TUSET,806
ALANIS,806
MANTAS,805
CRIOLLO,805
ROMERO DE AVILA,805
CAMPON,805
RECUENCO,804
ARRATIBEL,803
TERES,803
SANFELIU,803
BANDRES,803
MESSAOUDI,803
FLORIAN,802
SANCHEZ MIGALLON,802
CASTAÑE,802
CONCA,802
ANDERSON,802
GIGANTE,801
CASTELLAR,801
CANDO,801
ANDINO,801
REMIREZ,801
BARBON,801
CORTE,801
MALIA,801
VILLAGRAN,801
LAHERA,800
TRUJILLANO,800
UBACH,800
LABELLA,800
PARDILLO,800
FRADEJAS,800
TERESA,799
VAYA,799
HUELVA,799
SAHAGUN,799
MENCHEN,799
TUREGANO,799
LLAGOSTERA,798
TOSTADO,798
FELEZ,798
EL AISSAOUI,798
PATINO,797
MANGADO,797
RUSO,797
CANOS,797
CARRICONDO,797
BOCOS,797
ARBIOL,797
LLORACH,797
TORVISCO,796
AIRES,796
TORRUELLA,796
GUIO,796
MIRAVALLES,796
SAGUES,796
SELLARES,796
REPULLO,796
BELTRA,796
SAS,796
MANSOURI,796
YUS,795
FERRERUELA,795
RUAN,795
DIESTRO,794
FIGUERA,794
ALVEZ,794
MAROÑO,794
RAIMUNDO,794
ARGUESO,794
PUJOLS,793
SADABA,793
CHIVITE,793
PINTEÑO,793
MURPHY,793
XIE,793
AGRELO,792
CALDERO,792
IBARGUREN,792
BES,792
ESPERON,792
ORTE,791
FIGUERES,791
FARGAS,791
DEL BOSQUE,791
BOLOS,791
BORQUE,790
ARANZABAL,790
LEZA,789
BALTANAS,789
DRAGHICI,789
CARROZA,788
BALLESTE,788
PANISELLO,788
RUFIAN,788
CASTELLET,788
ECHEVERRI,788
CALZADILLA,788
ROALES,788
AMIEVA,787
MENARGUEZ,787
PEDRON,787
FACAL,787
BECARES,787
RUIZ DE AZUA,787
FRONTERA,787
CALVAR,786
BALLANO,786
NAVES,786
HUALDE,786
PEREIRAS,786
MIRAGAYA,786
COY,786
SAMPERE,786
RUFETE,785
SAPIÑA,785
NIN,785
ECHEGARAY,785
TEODORO,785
UTRERO,784
LASIERRA,784
GORROCHATEGUI,784
ONDO,784
LIJO,783
BADOSA,783
VALAREZO,783
ROIGE,783
MOLA,783
DONADO,783
NOGAL,782
GURIDI,782
SUAZO,782
LOPETEGUI,782
BAZTAN,782
CANELO,782
ALLOZA,782
ROMAGOSA,782
ANCA,782
DUMITRACHE,782
ARDELEAN,782
GAMALLO,781
LEGIDO,781
FILGUEIRAS,781
SAURI,781
ESCANDON,781
REMEDIOS,781
ROBREDO,781
BLASI,781
FERRIN,781
GARCERAN,780
BENAYAS,780
URTASUN,780
CEACERO,780
ARAMBARRI,780
NASARRE,779
ENAMORADO,779
DEL MONTE,779
ANGELES,779
GUNDIN,779
GARVIN,779
EL YOUSFI,779
ZAMBUDIO,778
REVUELTO,778
QUINTANAR,778
ESCUIN,778
INCHAUSTI,777
COTRINA,777
BADENAS,777
CABADO,777
JARABO,777
TORRESANO,777
FORTUÑO,777
BAÑA,776
BRIOSO,776
LOREN,776
DIA,776
FEMENIAS,775
CAÑEDO,775
VENTEO,775
LLONA,775
PIEDRAFITA,775
PAINO,775
MATARRANZ,775
MITCHELL,775
ASCASO,774
PERUJO,774
ORREGO,774
COLLELL,774
GENIS,774
DIAZ DE CERIO,774
ALLEN,774
DE LA GUIA,773
BERRAQUERO,773
MORAGON,772
RASTROJO,772
FONTALBA,772
ARRESE,772
URRESTI,772
CANADELL,772
DE LA CHICA,772
PIMIENTA,772
GESTAL,771
BARCENAS,771
PERARNAU,771
GARBAYO,771
CEPAS,771
CENDAN,771
ESCOFET,771
CAMESELLE,771
CASTELLOTE,771
DEL CID,771
ASENOV,771
ECHEBARRIA,770
ARRIAZU,770
ALBESA,770
CLOQUELL,770
AMUEDO,769
YELA,769
MUNILLA,769
ABID,769
GAYE,769
BONDIA,768
QUEIRUGA,768
CAÑADILLA,768
PANERO,768
ARCONADA,768
ALBAN,768
MORGAN,768
POYO,767
MERO,767
OBESO,767
SAGRERA,767
LUCEA,767
PARASCHIV,767
TUBAU,766
ESCUREDO,766
SIEIRO,766
GUMIEL,766
NI,766
PASCU,766
RESANO,765
MAULEON,765
GUINOT,765
SAMPIETRO,765
EL YAAKOUBI,765
BALCAZAR,764
ALEPUZ,764
PUYO,764
CASINO,764
GIRAL,764
JALON,764
SBAI,764
OLTEAN,764
PESTAÑA,763
BAQUE,763
FORNS,763
APOLO,763
VITORES,763
RAGEL,763
CASTANY,763
AHIJADO,763
HERGUETA,763
MIMUN,763
CLOSA,763
ROSTAS,763
POBLADOR,762
GOSALBEZ,762
VINDEL,762
MONTULL,762
FERREÑO,762
SAPENA,762
CENDRERO,762
RUDA,762
MICU,762
BAOS,761
CORTEGOSO,761
AZKUE,761
CHARLES,761
RAMI,761
VILLAMAR,760
LOMBARDERO,760
MEDIALDEA,760
MACHIO,760
SEGADOR,760
BALTAR,760
CLAUDIO,760
PERAN,760
ARCONES,759
ARANCIBIA,759
BASELGA,759
FALERO,758
MINGUILLON,758
VIÑES,757
LETE,757
HELGUERA,757
ESCARABAJAL,757
TALON,757
SENE,757
CIVANTOS,756
CALABRIA,756
CACHON,756
GAMAZO,756
HINOJAL,756
GRIÑO,756
SARASUA,756
GUAN,756
BORJAS,755
PEÑALVA,755
REJANO,755
OTON,755
PATRON,755
SORLI,755
RANEA,755
GAINZA,755
MATARIN,755
DARDER,755
TRABA,754
MENCHACA,754
MAGRIÑA,754
VALDEPEÑAS,754
PAMPLONA,754
TARI,754
REA,754
ALAMAN,754
DEVORA,754
JENSEN,754
JALLOW,754
ORMAECHEA,753
UGENA,753
GALOFRE,753
SALO,753
LESMES,753
RUBIERA,753
BURDALO,753
LAGUIA,752
RASTROLLO,752
HORNA,752
LLAMBRICH,752
PARELLADA,752
ARENILLAS,752
DUART,752
BEZARES,752
COHEN,752
ASENOVA,752
CASTILLEJOS,751
ARAEZ,751
LABRADA,751
REYNOSO,751
SENDON,751
HAYA,751
RETAMOSA,751
DO NASCIMENTO,750
