surname,frequency_first
BELMONTE,14680
SALA,14643
LAGO,14627
SINGH,14627
RECIO,14609
PALMA,14585
PINO,14565
HERRANZ,14517
BARBA,14515
CARDONA,14450
ARRANZ,14441
MUÑIZ,14412
VENTURA,14411
COBOS,14299
COLL,14169
CABEZAS,14115
BARREIRO,14102
CUADRADO,14097
MADRID,14036
ANGULO,13999
CERVERA,13983
VAQUERO,13944
VELEZ,13835
OCAÑA,13747
PUENTE,13727
NAVARRETE,13650
BECERRA,13625
GRANADOS,13611
ALFARO,13548
OCHOA,13547
BELLO,13512
PUJOL,13485
TAPIA,13469
PERALTA,13461
VERGARA,13309
GAMEZ,13294
VALLS,13271
ALCANTARA,13270
LATORRE,13233
CASTELLANOS,13185
LOSADA,13159
MEJIAS,13148
DA SILVA,13132
CORRALES,13104
EGEA,13048
ROVIRA,13040
CAMPO,13008
SASTRE,12983
FALCON,12970
BARRAGAN,12956
ESTRADA,12911
FRAILE,12856
CEBRIAN,12849
GODOY,12842
HUERTAS,12835
CEREZO,12816
RUANO,12793
CATALAN,12780
SEGOVIA,12764
BORREGO,12725
BARBERO,12658
MORCILLO,12628
VALENZUELA,12623
ARJONA,12594
AZNAR,12578
PAVON,12556
DEL VALLE,12530
GUIJARRO,12529
FAJARDO,12522
FERREIRO,12513
DUARTE,12418
ARIZA,12418
TORO,12416
CARVAJAL,12410
SOLE,12402
PEINADO,12348
ROMERA,12263
CANOVAS,12236
MORILLO,12207
ALCAIDE,12202
MELERO,12148
SAINZ,12118
JORGE,12088
AGUDO,12071
LLAMAS,12050
LOBATO,12044
GORDILLO,12042
GALVAN,12034
VALDES,12030
ROSALES,12023
TEJERO,11986
REAL,11985
PORTILLO,11933
ESPEJO,11931
ROYO,11887
TIRADO,11886
LIN,11884
BARRIO,11843
DAVILA,11813
GONZALO,11808
CRIADO,11776
DORADO,11733
DUQUE,11688
GRANDE,11674
WANG,11667
CHAMORRO,11654
FREIRE,11596
FRIAS,11592
FIGUEROA,11532
MOYANO,11525
SOLANO,11498
CALLEJA,11476
PIZARRO,11471
ROSADO,11470
DE MIGUEL,11461
ZAMBRANO,11394
OLMEDO,11376
HUERTA,11372
PLA,11350
MOSQUERA,11300
AMAYA,11266
ALCAZAR,11255
AVILES,11224
TENA,11221
ALCALDE,11207
ALCALA,11203
PANIAGUA,11189
FERRERO,11170
DEL POZO,11166
SAENZ,11133
PENA,11047
LLORENS,10972
VIVES,10964
PAZOS,10946
REBOLLO,10941
NOGUERA,10935
SALGUERO,10927
HERAS,10925
LAFUENTE,10919
GARZON,10899
BONET,10849
CHAVES,10809
SERNA,10792
PAEZ,10789
SALCEDO,10754
ARAUJO,10738
BARTOLOME,10725
POVEDA,10692
MATEU,10687
PIÑERO,10686
HERVAS,10671
OLMO,10642
ABELLAN,10638
BRITO,10627
BARRANCO,10617
ARCE,10609
QUIROS,10541
VALLES,10536
VALIENTE,10500
HARO,10490
CABEZA,10484
GINER,10458
BORRAS,10449
AHMED,10423
LLOPIS,10382
ANDRADE,10371
DOS SANTOS,10369
BORJA,10366
SOUTO,10321
ALVARADO,10315
MELLADO,10306
MIRA,10306
GARCES,10295
BILBAO,10280
YAÑEZ,10274
PALOMINO,10272
LAGUNA,10263
BARCELO,10261
FUERTES,10224
MOLERO,10213
AFONSO,10208
PALOMARES,10178
OSORIO,10135
OSUNA,10113
RIBAS,10105
CARREÑO,10092
DEL CASTILLO,10080
OROZCO,10063
CALLE,10052
MAESTRE,9974
CASTELLO,9972
SAN JOSE,9954
CASTAÑEDA,9925
DEL PINO,9907
MONTESINOS,9883
VILCHEZ,9829
PRATS,9816
ZHANG,9805
BELLIDO,9783
CEBALLOS,9779
ZAFRA,9771
BAEZA,9733
OLMOS,9725
MINGUEZ,9707
PAREJA,9679
PUERTAS,9666
FELIPE,9659
URBANO,9655
LEIVA,9648
GASCON,9635
VIZCAINO,9630
CARRERAS,9610
PERALES,9589
JAEN,9575
SEBASTIAN,9530
ZARAGOZA,9507
PERIS,9506
MURCIA,9502
BUSTAMANTE,9501
LUENGO,9500
GAGO,9435
CHAVEZ,9410
MONTORO,9407
CAMPILLO,9403
TEJADA,9387
ARCOS,9374
ALEGRE,9350
DE CASTRO,9295
BAÑOS,9228
CAÑAS,9227
VALERA,9221
ENRIQUEZ,9218
CASAL,9214
MONGE,9209
ACEVEDO,9201
FUSTER,9163
LEDESMA,9152
SOBRINO,9114
VILAR,9109
SANJUAN,9090
NADAL,9088
TEJEDOR,9052
BUSTOS,9003
SEOANE,8971
TELLO,8947
CAZORLA,8931
VASQUEZ,8916
SALMERON,8907
FERRE,8873
PALLARES,8862
CONESA,8850
SARMIENTO,8821
JEREZ,8808
VERDU,8801
DE LEON,8801
ZABALA,8758
MARI,8737
ARMAS,8725
BAREA,8719
BAEZ,8690
RIPOLL,8689
FERRANDO,8673
ORELLANA,8670
ROCHA,8666
VEIGA,8660
MONTIEL,8645
MORO,8643
JARA,8640
JORDAN,8617
MAYOR,8615
BARRERO,8613
DEL CAMPO,8598
CATALA,8596
TORTOSA,8574
CLIMENT,8565
SANDOVAL,8559
MOREIRA,8546
PRADOS,8534
FRAGA,8515
LOBO,8514
TABOADA,8493
AYUSO,8491
PRADA,8491
SAN MARTIN,8490
MAYA,8471
BEJARANO,8466
ARTEAGA,8455
AMOROS,8454
TAMAYO,8450
MORON,8443
ABRIL,8436
PADRON,8401
DIEGUEZ,8387
PEÑALVER,8368
ALEMAN,8358
YE,8333
BATISTA,8320
PATIÑO,8311
ALVARO,8278
INFANTE,8246
YUSTE,8243
MANSO,8241
MAROTO,8234
GALERA,8231
BARROS,8226
CERDA,8220
ALMEIDA,8199
LI,8154
BERENGUER,8146
ALBERT,8132
XU,8097
NOGALES,8096
PINILLA,8069
ATIENZA,8067
MOTA,8056
MACHADO,8042
PEDROSA,8036
MANRIQUE,8032
CANALES,8023
RIBERA,8003
VILLAVERDE,7999
MIRO,7998
MIGUEZ,7994
SAMPEDRO,7993
LUCENA,7990
ECHEVERRIA,7971
DIEGO,7971
DEL OLMO,7957
VIÑAS,7934
DUEÑAS,7929
TERUEL,7903
MEJIA,7897
VILLENA,7897
MEDRANO,7864
JARAMILLO,7841
UBEDA,7822
RAYA,7819
CIFUENTES,7816
SEVILLANO,7815
MANZANARES,7808
ORTUÑO,7796
ALMAGRO,7794
ECHEVARRIA,7738
NOVOA,7732
PERDOMO,7681
MERCHAN,7678
CHECA,7673
ARES,7666
DE LAS HERAS,7663
TRIGO,7652
ACEDO,7651
INIESTA,7638
MORILLAS,7638
ROBLEDO,7634
ESPAÑA,7613
LUJAN,7608
FRANCISCO,7585
CAPARROS,7571
FRANCES,7570
HERREROS,7561
PUERTO,7560
DE DIEGO,7555
MACIA,7548
QUEVEDO,7531
BOLAÑOS,7514
SEGARRA,7504
GRANADO,7495
HERMIDA,7480
BALAGUER,7480
MATAS,7478
TALAVERA,7440
ESPADA,7423
BERNABE,7421
MONTAÑO,7414
ZAMORANO,7409
LIU,7384
WU,7379
IBARRA,7378
PUERTA,7358
TELLEZ,7347
MONTILLA,7340
PERAL,7332
TORIBIO,7322
PINA,7319
TORRE,7304
PRAT,7303
CUBERO,7301
TOME,7291
MAYO,7277
BARBERA,7275
MONZON,7266
MARIÑO,7260
CORONADO,7251
BERNABEU,7241
BUENDIA,7238
MOLINERO,7225
ALVES,7180
LAMAS,7176
BADIA,7157
GIRALDO,7149
CARRO,7147
ENCINAS,7145
PALACIO,7145
DE LOS SANTOS,7137
LLORET,7127
PEIRO,7125
ARANA,7111
SANMARTIN,7084
MARTORELL,7081
CERVANTES,7080
RODENAS,7073
SAURA,7069
VIVAS,7062
ZHOU,7047
PARRILLA,7043
BOIX,7036
MELIAN,7024
COSTAS,7004
CAMPS,6994
MELENDEZ,6991
VALDIVIA,6980
MAYORAL,6978
COCA,6967
TOVAR,6964
MARISCAL,6942
QUILES,6937
CAÑETE,6921
HINOJOSA,6917
PIQUERAS,6914
PEDRAZA,6902
FIDALGO,6901
NARVAEZ,6838
FARIÑA,6837
REVUELTA,6832
